"State","FIPS","Total","NonHispanic","WhiteNonHispanic","BlackNonHispanic","IndianNonHispanic","AsianNonHispanic","HawaiianNonHispanic","OtherNonHispanic","TwoOrMoreNonHispanic","Hispanic","WhiteHispanic","BlackHispanic","IndianHispanic","AsianHispanic","HawaiianHispanic","OtherHispanic","TwoOrMoreHispanic","state","fips","WhiteTotal","BlackTotal","IndianTotal","AsianTotal","HawaiianTotal","OtherTotal","TwoOrMoreTotal","WhiteHispanicPerc","WhiteNonHispanicPerc","BlackHispanicPerc","BlackNonHispanicPerc","IndianHispanicPerc","IndianNonHispanicPerc","AsianHispanicPerc","AsianNonHispanicPerc","HawaiianHispanicPerc","HawaiianNonHispanicPerc","OtherHispanicPerc","OtherNonHispanicPerc","TwoOrMoreHispanicPerc","TwoOrMoreNonHispanicPerc","WhiteTotalPerc","BlackTotalPerc","IndianTotalPerc","AsianTotalPerc","HawaiianTotalPerc","OtherTotalPerc","TwoOrMoreTotalPerc"
"Georgia",13,10516579,9503522,5478289,3275581,17433,430473,5441,296305,257880,1013057,541976,44263,17529,4130,1686,403473,135289,"Georgia",13,6020265,3319844,34962,434603,7127,699778,393169,0.05153538997805275,0.5209193027504476,0.0042088781912825455,0.3114683016216585,0.0016667967786863009,0.0016576683349214607,0.0003927132577998986,0.040932797633146674,0.00016031829362000703,0.0005173735679634984,0.038365422824285345,0.02817503676813534,0.012864354463557017,0.024521282063302143,0.5724546927285004,0.3156771798129411,0.0033244651136077616,0.04132551089094657,0.0006776918615835054,0.06654045959242069,0.03738563652685916
"Hawaii",15,1420074,1267508,306360,25130,2100,522125,137046,274747,272208,152566,36563,1587,1408,12394,10652,89962,72710,"Hawaii",15,342923,26717,3508,534519,147698,364709,344918,0.025747249791208064,0.2157352363327545,0.0011175473954174219,0.017696260899079906,0.000991497626180044,0.0014787961754105772,0.008727714189542235,0.3676745014696417,0.007501017552606413,0.09650623840729426,0.06335021977727921,0.19347372038358562,0.05120155710195384,0.19168578538864875,0.24148248612396256,0.018813808294497327,0.0024702938015906213,0.3764022156591839,0.10400725595990068,0.25682394016086485,0.2428873424906026
"Idaho",16,1754367,1531400,1427529,10558,18866,23603,2611,48233,44998,222967,123450,978,4163,898,563,92915,30098,"Idaho",16,1550979,11536,23029,24501,3174,141148,75096,0.07036726067008785,0.8137003261005251,0.0005574660262077433,0.006018125055931855,0.002372935651434392,0.01075373624788884,0.0005118655332664147,0.013453855436177265,0.0003209134690746007,0.0014882860883726153,0.05296212252054444,0.027493107200488837,0.01715604545685139,0.02564913726717386,0.8840675867706129,0.006575591082139598,0.013126671899323232,0.013965720969443679,0.001809199557447216,0.08045522972103328,0.04280518272402525
"Illinois",17,12716164,10525468,7737459,1766586,13301,702457,3305,302360,277509,2190696,1136608,30074,20671,7110,1891,994342,262043,"Illinois",17,8874067,1796660,33972,709567,5196,1296702,539552,0.08938293026104413,0.6084743008976606,0.00236502140110807,0.13892444293735123,0.0016255688429309342,0.001045991542732541,0.0005591308825523168,0.055241266155422346,0.00014870836834127022,0.0002599054243087774,0.0781951223655184,0.02377761092102933,0.020607079304733725,0.021823326594403784,0.6978572311587048,0.1412894643384593,0.002671560385663475,0.05580039703797466,0.00040861379265004765,0.10197273328654774,0.042430405899137505
"Indiana",18,6696893,6221418,5253453,622317,10363,157076,1790,176419,159581,475475,256901,9606,3667,1629,415,203257,63010,"Indiana",18,5510354,631923,14030,158705,2205,379676,222591,0.038361222136892435,0.7844612419520515,0.0014343965179076327,0.09292622713249263,0.0005475673569818123,0.0015474340115632728,0.00024324712967640366,0.02345505594907967,0.00006196903549153316,0.00026728812898757677,0.030350940353982062,0.02634341029489347,0.009408840786316878,0.02382911000668519,0.8228224640889439,0.09436062365040027,0.002095001368545085,0.023698303078756075,0.0003292571644791099,0.05669435064887553,0.03323795079300207
"Iowa",19,3150011,2955604,2677946,114312,8055,78873,3644,72774,69541,194407,128472,2723,2483,423,297,60009,23438,"Iowa",19,2806418,117035,10538,79296,3941,132783,92979,0.040784619482281174,0.8501386185635542,0.0008644414257601005,0.036289397084645104,0.0007882512156306755,0.002557133927468825,0.00013428524535311146,0.02503896018140889,0.00009428538503516338,0.0011568213571317688,0.01905040966523609,0.02310277646649488,0.007440608937556091,0.022076430844209752,0.8909232380458354,0.037153838510405206,0.0033453851430995003,0.025173245426762,0.0012511067421669322,0.04215318613173097,0.02951703978176584
"Kansas",20,2912619,2561017,2193988,159797,17788,85734,1889,101821,95843,351602,222177,6040,4490,1359,455,117081,44202,"Kansas",20,2416165,165837,22278,87093,2344,218902,140045,0.07628083178747375,0.7532698234818903,0.002073735013058694,0.05486368110624836,0.0015415679153366782,0.006107218280180141,0.00046659037793820614,0.029435363842644714,0.00015621679320226915,0.0006485571919979922,0.040197842560252474,0.034958571649776365,0.015176032292586157,0.032906123320626555,0.8295506552693641,0.056937416119307055,0.007648786195516819,0.02990195422058292,0.0008047739852002614,0.07515641421002885,0.04808215561321271
"Kentucky",21,4461952,4294003,3751738,356048,7075,67524,2691,108927,99577,167949,96567,5182,1289,615,342,63954,25139,"Kentucky",21,3848305,361230,8364,68139,3033,172881,124716,0.02164232156688373,0.840828856966637,0.0011613751111621102,0.07979646576207006,0.00028888701626552684,0.0015856288906738575,0.0001378320519808371,0.015133286956022835,0.00007664806793080696,0.0006030992713502969,0.014333188703060901,0.02441240963596202,0.005634081227229697,0.02231691421153791,0.8624711785335207,0.08095784087323217,0.0018745159069393845,0.015271119008003672,0.0006797473392811038,0.03874559833902292,0.027950995438767605
"Louisiana",22,4664616,4421244,2720638,1489071,23328,79976,1527,106704,93782,243372,136266,11562,2610,954,216,91764,31871,"Louisiana",22,2856904,1500633,25938,80930,1743,198468,125653,0.02921269403526464,0.5832501539247819,0.0024786606228679917,0.319226920286686,0.000559531588452297,0.005001054749201221,0.0002045184426756672,0.017145248397724487,0.00004630606249260389,0.00032735813623243585,0.019672358882274553,0.022875194871346323,0.006832502396767494,0.020104977558710085,0.6124628479600465,0.321705580909554,0.005560586337653517,0.017349766840400155,0.00037366419872503974,0.042547553753620876,0.02693747995547758
"Maine",23,1340825,1317682,1242113,17761,8011,15157,159,34481,32198,23143,13917,874,883,113,31,7325,4762,"Maine",23,1256030,18635,8894,15270,190,41806,36960,0.010379430574459754,0.9263796543173046,0.0006518374881136614,0.013246322226987116,0.0006585497734603696,0.0059746797680532504,0.00008427647157533608,0.011304234333339548,0.000023120093971994854,0.00011858370779184457,0.0054630544627374935,0.025716256782204985,0.0035515447578915965,0.02401357373259001,0.9367590848917644,0.013898159715100777,0.00663322954151362,0.011388510804914884,0.00014170380176383942,0.03117931124494248,0.027565118490481606
"Maryland",24,6037624,5418206,3028494,1773702,11223,382027,1954,220806,196537,619418,246554,29426,4637,2402,696,335703,74602,"Maryland",24,3275048,1803128,15860,384429,2650,556509,271139,0.04083626274176729,0.501603610956893,0.004873771536617716,0.2937748359288356,0.0007680173525214555,0.0018588438100815817,0.0003978386199604348,0.06327439403314947,0.0001152771355089353,0.0003236372453799707,0.05560183939907487,0.03657167124020973,0.012356185148329873,0.032552043651608645,0.5424398736986603,0.2986486074654533,0.0026268611626030372,0.06367223265310991,0.00043891438088890597,0.09217351063928458,0.04490822879993852
"Massachusetts",25,6873003,6044863,4865022,466288,8943,462831,2327,239452,185469,828140,396765,47081,5056,3213,459,375566,142775,"Massachusetts",25,5261787,513369,13999,466044,2786,615018,328244,0.05772804114882534,0.7078451733543547,0.006850135232008483,0.06784341575291034,0.0007356318628116414,0.0013011779567097526,0.00046748124509766694,0.0673404332865852,0.00006678303501395242,0.00033857107293565857,0.054643654309477235,0.03483950174327001,0.02077330680635524,0.02698514754031098,0.76557321450318,0.07469355098491882,0.002036809819521394,0.06780791453168288,0.00040535410794961097,0.08948315605274725,0.04775845434666622
"Michigan",26,9973907,9452704,7428622,1342592,42931,314736,2675,321148,293901,521203,307280,17557,7104,2108,442,186712,82379,"Michigan",26,7735902,1360149,50035,316844,3117,507860,376280,0.03080838832766337,0.7448056213076781,0.001760293132871602,0.13461043901853106,0.0007122584960938577,0.004304331291639274,0.00021135147941523817,0.03155593891140152,0.00004431563278061446,0.0002681998137740807,0.018720046216592956,0.03219881637155831,0.008259451386502801,0.029466988212342466,0.7756140096353416,0.13637073215140266,0.005016589787733132,0.03176729039081676,0.0003125154465546952,0.05091886258815126,0.037726439598845266
"Minnesota",27,5600166,5292491,4422490,354540,48409,273100,1905,192047,174553,307675,149659,5277,6149,2142,296,144152,42898,"Minnesota",27,4572149,359817,54558,275242,2201,336199,217451,0.02672402925199003,0.7897069479726136,0.0009422934962999311,0.06330883763088452,0.0010980031663347122,0.008644208046690045,0.00038248866194323525,0.048766411567085687,0.0000528555760668523,0.0003401684878626812,0.025740665544557076,0.03429309059767157,0.007660130074715643,0.031169254625666453,0.8164309772246037,0.06425113112718445,0.009742211213024756,0.04914890022902892,0.0003930240639295335,0.06003375614222864,0.038829384700382094
"Mississippi",28,2981835,2887493,1680938,1118689,12897,29561,1090,44318,39179,94342,48415,4856,1054,181,125,39711,10851,"Mississippi",28,1729353,1123545,13951,29742,1215,84029,50030,0.016236646226233175,0.5637260277647824,0.0016285274000741154,0.37516797542452884,0.0003534736160786898,0.0043251890195131525,0.00006070087714444293,0.00991369408434739,0.000041920495265499265,0.0003655467187151536,0.01331763829990593,0.014862660073411173,0.0036390343530074603,0.013139224672055966,0.5799626739910156,0.376796502824603,0.004678662635591842,0.009974394961491833,0.00040746721398065287,0.028180298373317102,0.016778259025063427
"Missouri",29,6124160,5861483,4826943,692510,20646,122506,7876,191002,178162,262677,151103,5533,3628,1304,1011,100098,36156,"Missouri",29,4978046,698043,24274,123810,8887,291100,214318,0.024673261312571845,0.7881804198453339,0.0009034708433483123,0.1130783650329188,0.0005924077751071167,0.00337123785139513,0.0002129271606228446,0.0200037229595569,0.00016508386456265024,0.001286053924130003,0.01634477218100115,0.031188277249451352,0.005903830076288014,0.029091663183195737,0.8128536811579058,0.11398183587626712,0.003963645626502247,0.020216650120179744,0.0014511377886926534,0.0475330494304525,0.03499549325948375
"Montana",30,1061705,1020204,908782,4931,62720,8527,552,34692,33029,41501,23375,988,2803,137,43,14155,7676,"Montana",30,932157,5919,65523,8664,595,48847,40705,0.022016473502526595,0.8559646982918984,0.0009305786447271134,0.004644416292661333,0.002640093057864473,0.059074790078223235,0.00012903772705224144,0.00803142115747783,0.00004050089243245534,0.0005199184330864035,0.013332328660032682,0.03267574326201723,0.007229880239802958,0.031109394794222502,0.8779811717944249,0.005574994937388446,0.06171488313608771,0.008160458884530071,0.0005604193255188589,0.04600807192204991,0.03833927503402546
"Nebraska",31,1923826,1708874,1507127,89744,13378,47539,1051,50035,47433,214952,134129,2152,3497,405,184,74585,28504,"Nebraska",31,1641256,91896,16875,47944,1235,124620,75937,0.06971992269571156,0.7834008896854497,0.0011186042812603636,0.04664870939471657,0.0018177319570480907,0.006953851335827668,0.00021051799902901822,0.024710654705779003,0.00009564274523787494,0.0005463072024185139,0.038769098660689685,0.026008069336831915,0.014816308751415149,0.024655556167761532,0.8531208123811613,0.04776731367597693,0.00877158329287576,0.024921172704808023,0.0006419499476563889,0.0647771679975216,0.03947186491917668
"Nevada",32,3030281,2154483,1460159,271744,25928,246904,19401,130347,118766,875798,420889,10978,11787,5410,1997,424737,109715,"Nevada",32,1881048,282722,37715,252314,21398,555084,228481,0.13889437976214086,0.4818559730929244,0.0036227663375112736,0.08967617194577004,0.0038897382783972837,0.008556302204317025,0.001785312979225359,0.0814789123516928,0.0006590147910375308,0.006402376545277484,0.1401642289939448,0.04301482271776116,0.03620621321917011,0.039193064933582066,0.6207503528550653,0.09329893828328131,0.012446040482714308,0.08326422533091817,0.007061391336315015,0.18317905171170595,0.07539927815275217
"New Hampshire",33,1355244,1302452,1214029,18343,1895,36398,320,31467,29425,52792,32573,2702,302,183,104,16928,10427,"New Hampshire",33,1246602,21045,2197,36581,424,48395,39852,0.024034786355814894,0.8958010513235993,0.001993736921174342,0.013534832104034403,0.00022283810147840537,0.0013982721930515833,0.00013503103500181517,0.026857156349705293,0.0000767389488534906,0.0002361198426261249,0.012490739674922008,0.02321869714973835,0.0076938174970706385,0.02171195740398039,0.9198358376794142,0.015528569025208744,0.0016211102945299888,0.026992187384707107,0.0003128587914796155,0.03570943682466036,0.029405774901051028
