"State","FIPS","Total","NonHispanic","WhiteNonHispanic","BlackNonHispanic","IndianNonHispanic","AsianNonHispanic","HawaiianNonHispanic","OtherNonHispanic","TwoOrMoreNonHispanic","Hispanic","WhiteHispanic","BlackHispanic","IndianHispanic","AsianHispanic","HawaiianHispanic","OtherHispanic","TwoOrMoreHispanic","state","fips","WhiteTotal","BlackTotal","IndianTotal","AsianTotal","HawaiianTotal","OtherTotal","TwoOrMoreTotal","WhiteHispanicPerc","WhiteNonHispanicPerc","BlackHispanicPerc","BlackNonHispanicPerc","IndianHispanicPerc","IndianNonHispanicPerc","AsianHispanicPerc","AsianNonHispanicPerc","HawaiianHispanicPerc","HawaiianNonHispanicPerc","OtherHispanicPerc","OtherNonHispanicPerc","TwoOrMoreHispanicPerc","TwoOrMoreNonHispanicPerc","WhiteTotalPerc","BlackTotalPerc","IndianTotalPerc","AsianTotalPerc","HawaiianTotalPerc","OtherTotalPerc","TwoOrMoreTotalPerc"
"Rhode Island",44,1057798,889791,755708,58680,2832,35856,648,36067,29197,168007,79900,10516,1512,680,142,75257,23124,"Rhode Island",44,835608,69196,4344,36536,790,111324,52321,0.07553427024819484,0.7144161739765059,0.009941406582353152,0.0554737293887869,0.0014293844382386807,0.0026772597414629258,0.0006428448531761263,0.033896830963945856,0.00013424113110442636,0.0006125933306737203,0.07114496340511137,0.0340963019404461,0.021860506448301092,0.02760167820321082,0.7899504442247007,0.06541513597114004,0.0041066441797016065,0.03453967581712198,0.0007468344617781467,0.10524126534555747,0.04946218465151191
"South Carolina",45,5091517,4794620,3230111,1337126,14085,82800,3384,127114,113574,296897,156218,9434,2866,773,249,127357,38137,"South Carolina",45,3386329,1346560,16951,83573,3633,254471,151711,0.03068201481012437,0.6344103338945937,0.0018528858884297155,0.2626183905503998,0.0005628970697731147,0.0027663660948200703,0.00015182115664152748,0.016262343816194662,0.00004890487451971583,0.0006646349211836079,0.025013566683564054,0.024965840239755656,0.007490302006258645,0.022306514934547012,0.665092348704718,0.2644712764388295,0.0033292631645931853,0.01641416497283619,0.0007135397957033238,0.049979406923319716,0.02979681694080566
"South Dakota",46,879336,843248,715328,18436,72142,12275,494,24573,23749,36088,19900,400,2833,138,50,12767,6271,"South Dakota",46,735228,18836,74975,12413,544,37340,30020,0.022630712264708825,0.8134865398437002,0.00045488868873786586,0.020965819663928235,0.003221749137985935,0.0820414494573178,0.00015693659761456373,0.013959396635643257,0.00005686108609223323,0.0005617875305912643,0.014518909722790834,0.02794494937088894,0.007131517417687892,0.02700787867208894,0.836117252108409,0.0214207083526661,0.08526319859530374,0.014116333233257821,0.0006186486166834975,0.04246385909367977,0.03413939608977683
"Tennessee",47,6772268,6395106,4969371,1118600,13814,121808,3439,168074,152592,377162,227309,10206,3364,1089,520,134674,46396,"Tennessee",47,5196680,1128806,17178,122897,3959,302748,198988,0.03356467877526406,0.7337823901830228,0.0015070283692257896,0.1651736168739926,0.0004967316709852593,0.0020397893290696706,0.00016080285068458602,0.017986293513487652,0.0000767837303544396,0.0005078062474786881,0.019886100195680385,0.024817978260754006,0.0068508806798549616,0.022531890350470478,0.7673470689582869,0.16668064524321838,0.00253652100005493,0.01814709636417224,0.0005845899778331278,0.044704078456434385,0.02938277103032544
"Texas",48,28635442,17341185,11850477,3367449,65132,1396953,21477,639697,583800,11294257,7955146,96975,72789,18711,3851,3146785,1414284,"Texas",48,19805623,3464424,137921,1415664,25328,3786482,1998084,0.2778076902043279,0.4138395000154005,0.003386537564183574,0.11759724190742367,0.0025419199047110918,0.0022745239972199486,0.0006534210297853968,0.04878405578653195,0.00013448369331962818,0.0007500146147560774,0.10989126691321893,0.022339344369121317,0.04938928478910855,0.020387322814853007,0.6916471902197283,0.12098377947160724,0.00481644390193104,0.04943747681631735,0.0008844983080757056,0.13223061128234026,0.06977660760396155
"Utah",49,3151239,2705172,2455192,34982,27734,72061,28820,86383,79532,446067,227689,3077,5488,1129,630,208054,54119,"Utah",49,2682881,38059,33222,73190,29450,294437,133651,0.07225380239328086,0.7791195780453339,0.000976441329902302,0.011101030420098253,0.0017415372175833062,0.008800982724572779,0.00035827177817994763,0.022867513381244646,0.00019992136426338973,0.009145609076303003,0.06602291987373855,0.02741239239549904,0.01717387986122284,0.025238326893009384,0.8513733804386148,0.012077471750000554,0.010542519942156086,0.023225785159424594,0.009345530440566392,0.0934353122692376,0.042412206754232226
"Vermont",50,624340,611822,576601,7496,1538,10042,192,15953,14981,12518,7759,468,335,84,13,3859,2154,"Vermont",50,584360,7964,1873,10126,205,19812,17135,0.012427523464778807,0.9235368549187942,0.0007495915686965435,0.012006278630233527,0.0005365666143447481,0.00246340135182753,0.00013454207643271294,0.01608418489925361,0.000020821988019348433,0.0003075247461319153,0.006180927058974276,0.025551782682512736,0.0034500432456674246,0.023994938655219913,0.935964378383573,0.012755870198930071,0.0029999679661722777,0.016218726975686323,0.00032834673415126374,0.03173270974148701,0.027444981900887337
"Virginia",51,8509358,7698588,5209336,1590974,16856,564706,4680,312036,285197,810770,434100,29675,5697,5692,1314,334292,120589,"Virginia",51,5643436,1620649,22553,570398,5994,646328,405786,0.05101442435492783,0.612189074663447,0.00348733711755928,0.18696757146661358,0.0006694982159641186,0.001980877993380934,0.0006689106275702586,0.06636293830862446,0.00015441822990641598,0.0005499827366529884,0.039285219872051455,0.03666974641330169,0.014171339365437439,0.03351568943273982,0.6632034990183748,0.19045490858417286,0.002650376209345053,0.06703184893619471,0.0007044009665594043,0.07595496628535314,0.04768702879817725
"Washington",53,7512465,6540943,5067909,279720,75677,656578,49219,411840,388477,971522,455972,10525,16089,6324,1898,480714,143499,"Washington",53,5523881,290245,91766,662902,51117,892554,531976,0.060695390926946084,0.6746000147754432,0.0014010048632506107,0.037234116897715996,0.002141640593333879,0.01007352446899919,0.0008418009268595595,0.08739847706445221,0.000252646767738685,0.006551644500174044,0.06398885053041845,0.05482088768466808,0.019101453384475,0.05171098966850428,0.7352954057023893,0.038635121760966604,0.01221516506233307,0.08824027799131177,0.006804291267912729,0.11880973821508652,0.07081244305297928
"West Virginia",54,1807426,1778747,1654681,63133,3072,13948,453,43460,39146,28679,17574,1152,74,280,21,9578,4614,"West Virginia",54,1672255,64285,3146,14228,474,53038,43760,0.009723219650486382,0.9154903160627323,0.0006373704926232112,0.034929784123942,0.00004094220178308821,0.0016996546469952296,0.0001549164391792527,0.00771705176311506,0.000011618732938443952,0.00025063266767214813,0.00529924876592458,0.024045244452608295,0.002552801608475257,0.021658424743253666,0.9252135357132187,0.03556715461656521,0.0017405968487783179,0.007871968202294313,0.0002622514006105921,0.029344493218532875,0.024211226351728923
"Wisconsin",55,5806975,5398708,4681072,360526,43830,162010,2174,149096,134689,408267,213993,7363,4844,1386,498,180183,59875,"Wisconsin",55,4895065,367889,48674,163396,2672,329279,194564,0.03685102828925559,0.806111960185811,0.0012679579299032628,0.06208499261663775,0.0008341692533548018,0.007547819647923402,0.00023867848578648952,0.027899207418664623,0.00008575893645142265,0.00037437736515139123,0.03102871977234274,0.025675330098717492,0.010310876144636407,0.023194348176115792,0.8429629884750666,0.06335295054654101,0.008381988901278205,0.028137885904451113,0.0004601363016028139,0.05670404987106024,0.0335052243207522
"Wyoming",56,581348,522494,485816,4712,11596,4746,482,15142,14317,58854,39430,367,1521,146,107,17283,8401,"Wyoming",56,525246,5079,13117,4892,589,32425,22718,0.06782512367807234,0.8356715770932385,0.0006312914123726236,0.008105300095639789,0.00261633307416556,0.019946744462869054,0.00025114045287848245,0.008163784858638888,0.00018405498943833986,0.0008291075225166337,0.02972918114451241,0.026046361215657406,0.014450896881041992,0.024627245642885157,0.9034967007713108,0.008736591508012412,0.022563077537034616,0.00841492531151737,0.0010131625119549736,0.05577554236016981,0.03907814252392715
